               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081747,            0.026218,            0.030585,             0.73095,             0.39805,             0.44667,             0.17866,            0.053767,            0.017097,            0.016924,             0.07025,           0.0033056,           0.0033056
                   1,            0.058374,            0.018423,            0.015424,             0.39198,             0.67234,             0.43874,             0.17284,            0.061968,            0.010774,           0.0089196,            0.040184,           0.0065732,           0.0065732
                   2,            0.054827,            0.014645,            0.010046,             0.79248,             0.73673,             0.83646,             0.36356,            0.047946,           0.0097232,           0.0075291,            0.010053,           0.0097748,           0.0097748
                   3,            0.048131,            0.012527,           0.0084607,             0.83846,             0.88877,             0.89577,             0.48132,            0.036513,           0.0094506,           0.0066218,            0.009703,            0.009703,            0.009703
                   4,            0.042268,            0.011509,           0.0068804,             0.89682,             0.86299,             0.92154,              0.5766,            0.034935,           0.0090357,           0.0060148,            0.009703,            0.009703,            0.009703
                   5,            0.037981,            0.010985,           0.0065184,             0.92202,             0.80688,             0.91227,             0.52731,            0.036531,           0.0091406,           0.0071164,            0.009604,            0.009604,            0.009604
                   6,             0.03644,              0.0109,           0.0062979,             0.92769,             0.87611,             0.93987,             0.61276,            0.030965,           0.0087845,           0.0063565,            0.009505,            0.009505,            0.009505
                   7,             0.03482,            0.010324,           0.0054085,             0.94246,             0.88632,             0.95823,              0.6256,            0.030041,            0.008385,           0.0067452,            0.009406,            0.009406,            0.009406
                   8,             0.03323,           0.0099232,           0.0050406,             0.95696,             0.92574,             0.96996,             0.67961,            0.027592,           0.0079555,           0.0040451,            0.009307,            0.009307,            0.009307
                   9,            0.032663,           0.0099518,             0.00539,             0.90193,             0.90402,             0.95985,             0.66606,            0.028255,           0.0081379,            0.005351,            0.009208,            0.009208,            0.009208
                  10,            0.031493,           0.0094814,           0.0046306,             0.95268,             0.91861,             0.96723,              0.6926,            0.026784,           0.0078685,           0.0041915,            0.009109,            0.009109,            0.009109
                  11,            0.030633,           0.0096371,           0.0047584,             0.87663,             0.78754,             0.86487,             0.59004,            0.029291,           0.0093627,           0.0079703,             0.00901,             0.00901,             0.00901
                  12,            0.030182,           0.0092487,           0.0041243,             0.96174,             0.92549,             0.96433,             0.69061,            0.026407,           0.0081575,           0.0044101,            0.008911,            0.008911,            0.008911
                  13,            0.028733,           0.0091091,           0.0041439,             0.96366,              0.9365,             0.96684,             0.70013,            0.025563,           0.0075419,           0.0029109,            0.008812,            0.008812,            0.008812
                  14,            0.028387,           0.0090247,           0.0039044,             0.95349,             0.91849,              0.9587,             0.71527,            0.026881,           0.0076422,           0.0036549,            0.008713,            0.008713,            0.008713
                  15,            0.028456,           0.0091722,           0.0039485,             0.97702,              0.9438,             0.97619,             0.72784,            0.024915,           0.0074441,           0.0031553,            0.008614,            0.008614,            0.008614
                  16,            0.027411,           0.0088261,           0.0036175,              0.9562,             0.92312,             0.96668,             0.70762,            0.024875,           0.0072959,           0.0057292,            0.008515,            0.008515,            0.008515
                  17,            0.027041,           0.0087931,           0.0033968,              0.9565,             0.93552,             0.97616,             0.70807,             0.02649,           0.0073089,           0.0042762,            0.008416,            0.008416,            0.008416
                  18,            0.026586,           0.0085154,           0.0031531,             0.96278,             0.94021,             0.97046,             0.72299,            0.024259,           0.0075969,           0.0044438,            0.008317,            0.008317,            0.008317
                  19,            0.025817,           0.0084418,           0.0031095,             0.96558,             0.94869,             0.98177,             0.74694,             0.02367,            0.006996,           0.0042777,            0.008218,            0.008218,            0.008218
                  20,            0.025456,           0.0083004,           0.0029648,              0.9758,             0.94012,             0.97805,             0.77277,            0.022822,           0.0068475,           0.0034689,            0.008119,            0.008119,            0.008119
                  21,            0.024922,           0.0081303,           0.0031916,             0.97378,             0.93675,              0.9787,             0.75968,             0.02302,           0.0069879,            0.004369,             0.00802,             0.00802,             0.00802
                  22,            0.024148,           0.0081178,           0.0028522,             0.98219,             0.95399,             0.97938,              0.7397,            0.022986,            0.006883,           0.0027574,            0.007921,            0.007921,            0.007921
